#   N           Simpson's               Milne                 GSL
#-----------------------------------
 1001 2.3235356616863e-08 1.6029488044618e-08  5.100234854621e-12 
 5001 4.1582981211268e-10 2.8674722751797e-10 2.2266650330377e-14 
 9001 9.5662334728054e-11 6.5968467390635e-11 3.0470153083673e-15 
13001 3.8149803589724e-11 2.6307227015065e-11 5.8596448237833e-15 
17001 1.9508163933132e-11 1.3449056799548e-11 8.2035027532967e-15 
21001 1.1506936119153e-11 7.9316152334731e-12 8.2035027532967e-15 
25001 7.4299124436608e-12  5.129298692947e-12 8.2035027532967e-15 
29001 5.1351583377708e-12 3.5420381030806e-12 8.2035027532967e-15 
33001 3.7215776204813e-12  2.567227590196e-12 8.2035027532967e-15 
37001 2.7873158497773e-12 1.9230182382692e-12 8.2035027532967e-15 
41001 2.1616229754937e-12 1.4944438158577e-12 8.2035027532967e-15 
45001 1.7108990956483e-12 1.1739212439968e-12 8.2035027532967e-15 
49001 1.3860403866177e-12 9.5652842103439e-13 8.2035027532967e-15 
53001 1.1337240805056e-12 7.8120784790679e-13 8.2035027532967e-15 
57001 9.4352000952559e-13  6.583896924003e-13 8.2035027532967e-15 
61001 8.1167800099047e-13 5.5514275060523e-13 8.2035027532967e-15 
65001  6.853440585897e-13 4.6982632197095e-13 8.2035027532967e-15 
69001 5.9780096492238e-13 4.0853443711417e-13 8.2035027532967e-15 
73001 5.0744524173964e-13 3.5943061349087e-13 8.2035027532967e-15 
77001 4.4931756508771e-13  3.125534549006e-13 8.2035027532967e-15 
81001   3.82869192786e-13 2.7130155534117e-13 8.2035027532967e-15 
85001 3.4747693805035e-13 2.4235490991168e-13 8.2035027532967e-15 
89001 3.0188890132132e-13 2.1446300055047e-13 8.2035027532967e-15 
93001 2.7680962147552e-13 1.7907074581482e-13 8.2035027532967e-15 
97001 2.5981665148655e-13 1.6676549168487e-13 8.2035027532967e-15 
101001  2.191507164095e-13 1.5610093810559e-13 8.2035027532967e-15 
105001 2.1469738634342e-13 1.4192059763203e-13 8.2035027532967e-15 
109001 1.9348547208133e-13 1.2621674950429e-13 8.2035027532967e-15 
113001 1.7262513650866e-13 1.2586517081487e-13 8.2035027532967e-15 
117001 1.7590653760998e-13 1.0945816530827e-13 8.2035027532967e-15 
121001 1.4637392769811e-13 1.0383290627744e-13 8.2035027532967e-15 
125001 1.3383428777521e-13 9.3519931387582e-14 8.2035027532967e-15 
129001 1.0734869317171e-13 7.1839245539584e-14 8.2035027532967e-15 
133001 1.0887220082589e-13 6.9846966299497e-14 8.2035027532967e-15 
137001 1.1168483034131e-13 6.6682758094654e-14 8.2035027532967e-15 
141001 9.6098175110047e-14 7.9456783810502e-14 8.2035027532967e-15 
145001 1.0031711938317e-13  6.246381382153e-14 8.2035027532967e-15 
149001 8.9066601321507e-14 4.2775407213618e-14 8.2035027532967e-15 
153001 7.5472225330329e-14 3.7150148182786e-14 8.2035027532967e-15 
157001 7.4417489262048e-14 4.9806981002158e-14 8.2035027532967e-15 
161001 6.7268722577033e-14 6.1291884856774e-14 8.2035027532967e-15 
165001 6.8440651541789e-14 6.0002762995541e-14 8.2035027532967e-15 
169001 7.6175382709183e-14 4.2658214317143e-14 8.2035027532967e-15 
173001   6.59796007158e-14 2.9532609911868e-14 8.2035027532967e-15 
177001 5.4377503964709e-14 3.9728391905251e-14 8.2035027532967e-15 
181001 3.1290503359003e-14 2.2852614812755e-14 8.2035027532967e-15 
185001 5.2268031828147e-14 4.0900320870008e-14 8.2035027532967e-15 
189001 6.4924864647519e-14 4.1017513766483e-14 8.2035027532967e-15 
193001 7.2776788711389e-14 2.4844894052841e-14 8.2035027532967e-15 
197001 4.4650493557229e-14 3.0118574394246e-14 8.2035027532967e-15 
201001 4.1837864041813e-14 2.5313665638744e-14 8.2035027532967e-15 
205001 4.1720671145337e-14 2.8477873843587e-14 8.2035027532967e-15 
209001 4.9806981002158e-14  4.922101651978e-15 8.2035027532967e-15 
213001 4.0079970594678e-14 1.3945954680604e-14 8.2035027532967e-15 
217001  3.433751866737e-14 1.5938233920691e-14 8.2035027532967e-15 
221001 2.9532609911868e-14 1.5938233920691e-14 8.2035027532967e-15 
225001 2.3321386398658e-14 3.7736112665165e-14 8.2035027532967e-15 
229001 3.9025234526397e-14 2.3438579295133e-14 8.2035027532967e-15 
233001 3.4220325770895e-14 6.0940306167347e-15 8.2035027532967e-15 
237001 3.9728391905251e-14 9.0238530286263e-15 8.2035027532967e-15 
241001 7.2659595814913e-15 4.1017513766483e-15 8.2035027532967e-15 
245001 4.5939615418461e-14 3.0001381497771e-14 8.2035027532967e-15 
249001 2.7423137775306e-14 2.6954366189403e-14 8.2035027532967e-15 
253001 2.9884188601295e-14 2.4024543777512e-14 8.2035027532967e-15 
257001 1.4649112059458e-14 1.2774025715848e-14 8.2035027532967e-15 
261001  2.461050825989e-15 2.4376122466939e-14 8.2035027532967e-15 
265001 3.7736112665165e-14 5.8596448237833e-16 8.2035027532967e-15 
269001 3.4923483149749e-14 2.5196472742268e-14 8.2035027532967e-15 
273001 3.0587345980149e-14 1.2422447026421e-14 8.2035027532967e-15 
277001 2.8477873843587e-14 1.8516477643155e-14 8.2035027532967e-15 
281001 3.9962777698202e-14 8.2035027532967e-16 8.2035027532967e-15 
285001 8.5550814427237e-15 8.2035027532967e-15 8.2035027532967e-15 
289001  2.109472136562e-15 9.7270104074803e-15 8.2035027532967e-15 
293001 9.6098175110047e-15 1.3828761784129e-14 8.2035027532967e-15 
297001 1.5938233920691e-14 2.1446300055047e-14 8.2035027532967e-15 
301001 1.3711568887653e-14 2.3672965088085e-14 8.2035027532967e-15 
305001 2.6485594603501e-14 1.4297533370031e-14 8.2035027532967e-15 
309001 2.3438579295133e-16 6.4456093061617e-15 8.2035027532967e-15 
313001 1.8750863436107e-14 2.2618229019804e-14 8.2035027532967e-15 
317001 2.0508756883242e-14  5.625259030832e-15 8.2035027532967e-15 
321001 1.3594375991177e-14 1.6641391299545e-14 8.2035027532967e-15 
325001 3.0470153083673e-15 2.0391563986766e-14 8.2035027532967e-15 
329001 2.3321386398658e-14 9.2582388215777e-15 8.2035027532967e-15 
333001 2.0743142676193e-14 8.9066601321507e-15 8.2035027532967e-15 
337001 1.0898939372237e-14 1.7344548678399e-14 8.2035027532967e-15 
341001 1.9102442125534e-14 1.9336827918485e-14 8.2035027532967e-15 
345001 2.6719980396452e-14 1.3711568887653e-14 8.2035027532967e-15 
349001 4.6877158590267e-15  5.976837720259e-15 8.2035027532967e-15 
353001 2.0391563986766e-14 1.8985249229058e-14 8.2035027532967e-15 
357001  8.086309856821e-15 2.2735421916279e-14 8.2035027532967e-15 
361001 6.5628022026373e-15 2.1797878744474e-14 8.2035027532967e-15 
365001 1.1953675440518e-14 6.4456093061617e-15 8.2035027532967e-15 
369001 3.3985939977943e-14  5.625259030832e-15 8.2035027532967e-15 
373001  5.273680341405e-15 2.8360680947111e-14 8.2035027532967e-15 
377001 4.3361371695997e-15 1.4414726266507e-14 8.2035027532967e-15 
381001  1.757893447135e-15 2.6485594603501e-14 8.2035027532967e-15 
385001 9.3754317180533e-15  2.109472136562e-15 8.2035027532967e-15 
389001 1.8985249229058e-14 8.9066601321507e-15 8.2035027532967e-15 
393001 1.2539639922896e-14 1.0078589096907e-14 8.2035027532967e-15 
397001 1.8868056332582e-14 2.4258929570463e-14 8.2035027532967e-15 
401001 3.7501726872213e-15 1.2774025715848e-14 8.2035027532967e-15 
405001  5.976837720259e-15 1.0312974889859e-14 8.2035027532967e-15 
409001 1.1719289647567e-16  6.328416409686e-15 8.2035027532967e-15 
413001 1.2656832819372e-14  9.844203303956e-15 8.2035027532967e-15 
417001  8.086309856821e-15  2.461050825989e-15 8.2035027532967e-15 
421001  8.789467235675e-15 1.3945954680604e-14 8.2035027532967e-15 
425001 2.4141736673987e-14 1.5117883645361e-14 8.2035027532967e-15 
429001 9.9613962004317e-15 1.1719289647567e-16 8.2035027532967e-15 
433001 1.5703848127739e-14 3.0470153083673e-15 8.2035027532967e-15 
437001 2.8595066740063e-14 1.0312974889859e-14 8.2035027532967e-15 
441001 2.5782437224647e-15 3.9845584801727e-15 8.2035027532967e-15 
445001 2.8360680947111e-14 1.6875777092496e-14 8.2035027532967e-15 
