#  N   trapezoid     Simpsons     3/8      Gauss  
#-----------------------------------------
0.845098  -2.635683e+00  -5.373791e+00  -5.021859e+00  -7.097897e+00
1.113943e+00  -3.237645e+00  -6.571210e+00  -6.190052e+00  -6.963499e+00
1.278754e+00  -3.589700e+00  -7.097897e+00  -6.571210e+00  -6.963499e+00
1.397940e+00  -3.839455e+00  -7.839390e+00  -7.097897e+00  -6.963499e+00
1.491362e+00  -4.033919e+00  -6.571210e+00  -6.759172e+00  -6.759172e+00
1.568202e+00  -4.193109e+00  -6.571210e+00  -7.097897e+00  -7.839390e+00
1.633468e+00  -4.324949e+00  -7.097897e+00  -7.839390e+00  -7.097897e+00
1.690196e+00  -4.440232e+00  -7.097897e+00  -6.759172e+00  -6.963499e+00
1.740363e+00  -4.540016e+00  -6.963499e+00  -7.097897e+00  -7.097897e+00
1.785330e+00  -4.638403e+00  -6.759172e+00  -6.963499e+00  -7.839390e+00
1.826075e+00  -4.718352e+00  -6.963499e+00  -7.097897e+00  -6.963499e+00
1.863323e+00  -4.792914e+00  -6.963499e+00  -7.097897e+00  -7.097897e+00
1.897627e+00  -4.864612e+00  -6.759172e+00  -6.692373e+00  -6.963499e+00
1.929419e+00  -4.932636e+00  -6.963499e+00  -7.839390e+00  -6.759172e+00
1.959041e+00  -4.992714e+00  -6.692373e+00  -6.759172e+00  -7.097897e+00
1.986772e+00  -5.034975e+00  -6.759172e+00  -7.839390e+00  -6.963499e+00
2.012837e+00  -5.102035e+00  -7.097897e+00  -7.839390e+00  -6.440455e+00
2.037426e+00  -5.163111e+00  -6.759172e+00  -6.759172e+00  -6.440455e+00
2.060698e+00  -5.181375e+00  -7.839390e+00  -6.759172e+00  -7.097897e+00
2.082785e+00  -5.213633e+00  -7.839390e+00  -6.407105e+00  -6.963499e+00
2.103804e+00  -5.294362e+00  -6.963499e+00  -7.839390e+00  -7.097897e+00
2.123852e+00  -5.319259e+00  -6.963499e+00  -7.097897e+00  -6.440455e+00
2.143015e+00  -5.327885e+00  -6.759172e+00  -7.097897e+00  -7.839390e+00
2.161368e+00  -5.393605e+00  -6.759172e+00  -6.963499e+00  -6.963499e+00
2.178977e+00  -5.459124e+00  -6.571210e+00  -7.839390e+00  -6.692373e+00
2.195900e+00  -5.471073e+00  -6.440455e+00  -7.097897e+00  -7.839390e+00
2.212188e+00  -5.483361e+00  -6.526726e+00  -7.839390e+00  -6.407105e+00
2.227887e+00  -5.522458e+00  -6.526726e+00  -7.839390e+00  -6.692373e+00
2.243038e+00  -5.596632e+00  -7.097897e+00  -6.171001e+00  -7.839390e+00
2.257679e+00  -5.565427e+00  -6.440455e+00  -6.963499e+00  -6.963499e+00
2.271842e+00  -5.565427e+00  -6.759172e+00  -7.097897e+00  -6.571210e+00
2.285557e+00  -5.666700e+00  -6.440455e+00  -7.097897e+00  -6.571210e+00
2.298853e+00  -5.706487e+00  -6.963499e+00  -6.692373e+00  -7.839390e+00
2.311754e+00  -5.666700e+00  -6.340092e+00  -6.759172e+00  -6.692373e+00
2.324282e+00  -5.648095e+00  -6.526726e+00  -7.097897e+00  -6.963499e+00
2.336460e+00  -5.750289e+00  -6.440455e+00  -6.963499e+00  -6.526726e+00
2.348305e+00  -5.884180e+00  -7.839390e+00  -6.692373e+00  -7.839390e+00
2.359835e+00  -5.799010e+00  -6.526726e+00  -6.963499e+00  -6.440455e+00
2.371068e+00  -5.750289e+00  -7.097897e+00  -7.839390e+00  -7.097897e+00
2.382017e+00  -5.825587e+00  -6.692373e+00  -6.692373e+00  -6.258624e+00
2.392697e+00  -5.951930e+00  -6.114175e+00  -6.258624e+00  -6.692373e+00
2.403121e+00  -5.990230e+00  -7.839390e+00  -6.526726e+00  -6.440455e+00
2.413300e+00  -5.773967e+00  -7.839390e+00  -7.097897e+00  -7.097897e+00
2.423246e+00  -5.884180e+00  -6.258624e+00  -6.692373e+00  -6.692373e+00
2.432969e+00  -5.773967e+00  -6.692373e+00  -6.571210e+00  -6.526726e+00
2.442480e+00  -5.773967e+00  -6.571210e+00  -6.759172e+00  -6.759172e+00
2.451786e+00  -6.032238e+00  -6.692373e+00  -6.963499e+00  -6.258624e+00
2.460898e+00  -6.078749e+00  -6.963499e+00  -6.963499e+00  -6.571210e+00
2.469822e+00  -5.799010e+00  -6.340092e+00  -6.963499e+00  -7.839390e+00
2.478566e+00  -5.916735e+00  -6.171001e+00  -6.759172e+00  -7.097897e+00
2.487138e+00  -6.571210e+00  -6.526726e+00  -7.097897e+00  -6.571210e+00
