# 3D harmonic oscillator
# eigenvalue = 1.499218e+00

#   r       u(r)
0.000000 0.000000
0.100000 2.820379e-02
0.200000 5.598545e-02
0.300000 8.293336e-02
0.400000 1.086566e-01
0.500000 1.327943e-01
0.600000 1.550241e-01
0.700000 1.750693e-01
0.800000 1.927042e-01
0.900000 2.077585e-01
1.000000 2.201186e-01
1.100000 2.297291e-01
1.200000 2.365903e-01
1.300000 2.407562e-01
1.400000 2.423299e-01
1.500000 2.414580e-01
1.600000 2.383242e-01
1.700000 2.331427e-01
1.800000 2.261504e-01
1.900000 2.175994e-01
2.000000 2.077500e-01
2.100000 1.968634e-01
2.200000 1.851958e-01
2.300000 1.729926e-01
2.400000 1.604837e-01
2.500000 1.478798e-01
2.600000 1.353694e-01
2.700000 1.231173e-01
2.800000 1.112632e-01
2.900000 9.992181e-02
3.000000 8.918322e-02
3.100000 7.911420e-02
3.200000 6.975980e-02
3.300000 6.114540e-02
3.400000 5.327898e-02
3.500000 4.615355e-02
3.600000 3.974964e-02
3.700000 3.403768e-02
3.800000 2.898036e-02
3.900000 2.453475e-02
4.000000 2.065425e-02
4.100000 1.729026e-02
4.200000 1.439368e-02
4.300000 1.191607e-02
4.400000 9.810629e-03
4.500000 8.032941e-03
4.600000 6.541489e-03
4.700000 5.298010e-03
4.800000 4.267686e-03
4.900000 3.419198e-03
5.000000 2.724686e-03
5.100000 2.159618e-03
5.200000 1.702603e-03
5.300000 1.335157e-03
5.400000 1.041455e-03
5.500000 8.080625e-04
5.600000 6.236647e-04
5.700000 4.788121e-04
5.800000 3.656726e-04
5.900000 2.778039e-04
6.000000 2.099462e-04
6.100000 1.578361e-04
6.200000 1.180425e-04
6.300000 8.782295e-05
6.400000 6.500101e-05
6.500000 4.786067e-05
6.600000 3.505808e-05
6.700000 2.554772e-05
6.800000 1.852143e-05
6.900000 1.335854e-05
7.000000 9.585379e-06
7.100000 6.842720e-06
7.200000 4.859829e-06
7.300000 3.433911e-06
7.400000 2.413995e-06
7.500000 1.688364e-06
7.600000 1.174846e-06
7.700000 8.133631e-07
7.800000 5.602466e-07
7.900000 3.839442e-07
8.000000 2.617906e-07
8.100000 1.775987e-07
8.200000 1.198748e-07
8.300000 8.050467e-08
8.400000 5.379252e-08
8.500000 3.576290e-08
8.600000 2.365679e-08
8.700000 1.557016e-08
8.800000 1.019636e-08
8.900000 6.643709e-09
9.000000 4.307076e-09
9.100000 2.778052e-09
9.200000 1.782506e-09
9.300000 1.137414e-09
9.400000 7.212073e-10
9.500000 4.535028e-10
9.600000 2.813209e-10
9.700000 1.697376e-10
9.800000 9.553620e-11
9.900000 4.284071e-11
