# m=1, k=39.4784, p=2
# x0=2, v0=5
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  2.000000000000000e+00  5.000000000000000e+00  1.250000000000000e+01  7.895683520871486e+01
0.0100  2.046519800563036e+00  4.300779138397090e+00  9.248350598635806e+00  8.267260889649700e+01
0.0200  2.085954213855296e+00  3.583150715231451e+00  6.419484524031828e+00  8.588934368671320e+01
0.0300  2.118126172414064e+00  2.848533160775756e+00  4.057070584019559e+00  8.855914076374356e+01
0.0400  2.142873321227224e+00  2.098452916693818e+00  2.201752321790395e+00  9.064059273205399e+01
0.0500  2.160049167435781e+00  1.334558155881030e+00  8.905227357142875e-01  9.209944530869788e+01
0.0600  2.169524360742144e+00  5.586311487541085e-01  1.560343801791674e-01  9.290921765123996e+01
0.0700  2.171188089370468e+00  -2.274010442286393e-01  2.585561745813779e-02  9.305176962923639e+01
0.0800  2.164949573334302e+00  -1.021457850967960e+00  5.216880706520417e-01  9.251780302183282e+01
0.0900  2.150739633930942e+00  -1.821298706289691e+00  1.658564488766251e+00  9.130728257755034e+01
0.1000  2.128512315847655e+00  -2.624519047573705e+00  3.444050115538595e+00  8.942976218493405e+01
0.1100  2.098246536074487e+00  -3.428548988022059e+00  5.877474081633542e+00  8.690460114816325e+01
0.1200  2.059947732008779e+00  -4.230654828372296e+00  8.949220138414908e+00  8.376105580422738e+01
0.1300  2.013649479739579e+00  -5.027943525219356e+00  1.264010804639762e+01  8.003823250957672e+01
0.1400  1.959415052541319e+00  -5.817370189215413e+00  1.692089795918608e+01  7.578488940038825e+01
0.1500  1.897338889104859e+00  -6.595748639926189e+00  2.175195006054409e+01  7.105907630959452e+01
0.1600  1.827547941002778e+00  -7.359764996715101e+00  2.708307040343642e+01  6.592760480282982e+01
0.1700  1.750202869330314e+00  -8.105994237398411e+00  3.285357128836812e+01  6.046534344930566e+01
0.1800  1.665499061382357e+00  -8.830919609265953e+00  3.899257057265896e+01  5.475433712376066e+01
0.1900  1.573667439612122e+00  -9.530954731088901e+00  4.541954904303295e+01  4.888275326978271e+01
0.2000  1.474975036953247e+00  -1.020246818061896e+01  5.204517848827123e+01  4.294366254770367e+01
0.2100  1.369725314852497e+00  -1.084181032047850e+01  5.877242551261705e+01  3.703366602527153e+01
0.2200  1.258258203026382e+00  -1.144534207686944e+01  6.549792762827909e+01  3.125138591100356e+01
0.2300  1.140949842987925e+00  -1.200946535076930e+01  7.211362900566424e+01  2.569584162793413e+01
0.2400  1.018212020749401e+00  -1.253065471076038e+01  7.850865374015063e+01  2.046473761811372e+01
0.2500  8.904912777486519e-01  -1.300548999082132e+01  8.457138495067676e+01  1.565269348896703e+01
0.2600  7.582676929212143e-01  -1.343068939569794e+01  9.019170882185654e+01  1.134945079516039e+01
0.2700  6.220533328953878e-01  -1.380314270119165e+01  9.526337421473021e+01  7.638093734320928e+00
0.2800  4.823903714667649e-01  -1.411994412710989e+01  9.968641107635253e+01  4.593323175245811e+00
0.2900  3.398488837549342e-01  -1.437842445688392e+01  1.033695449311588e+02  2.279824606020758e+00
0.3000  1.950243246989526e-01  -1.457618198006306e+01  1.062325405579575e+02  7.507706850039111e-01
0.3100  4.853470575029335e-02  -1.471111184204202e+01  1.082084058145344e+02  4.649802889359944e-02
0.3200  -9.898251228681690e-02  -1.478143339938836e+01  1.092453866702769e+02  1.933956431696459e-01
0.3300  -2.468737883953017e-01  -1.478571519884269e+01  1.093086869706438e+02  1.203038993539377e+00
0.3400  -3.944731068950855e-01  -1.472289722321767e+01  1.083818513227152e+02  3.071599175405591e+00
0.3500  -5.411057904121229e-01  -1.459231007769706e+01  1.064677567018297e+02  5.779551045338985e+00
0.3600  -6.860924881820820e-01  -1.439369082503256e+01  1.035891677833132e+02  9.291697657254478e+00
0.3700  -8.287533048820578e-01  -1.412719521738705e+01  9.978882235508183e+01  1.355752105655298e+01
0.3800  -9.684120328731850e-01  -1.379340611554847e+01  9.512902613422493e+01  1.851186162064730e+01
0.3900  -1.104400448872486e+00  -1.339333793235522e+01  8.969075048513260e+01  2.407591991375214e+01
0.4000  -1.236062634682024e+00  -1.292843698580424e+01  8.357224144795555e+01  3.015856668730512e+01
0.4100  -1.362759280709272e+00  -1.240057769778913e+01  7.688716361945255e+01  3.665793845667717e+01
0.4200  -1.483871930629577e+00  -1.181205462604682e+01  6.976231724435709e+01  4.346328827509428e+01
0.4300  -1.598807125677669e+00  -1.116557036896543e+01  6.233498083215938e+01  5.045705415643346e+01
0.4400  -1.707000407711230e+00  -1.046421943470532e+01  5.474994418883223e+01  5.751710130454360e+01
0.4500  -1.807920141359222e+00  -9.711468216895833e+00  4.715630746388896e+01  6.451908909928193e+01
0.4600  -1.901071117237588e+00  -8.911131268287772e+00  3.970413024032801e+01  7.133890984836083e+01
0.4700  -1.985997900364725e+00  -8.067344110488685e+00  3.254102049851824e+01  7.785514378071257e+01
0.4800  -2.062287890511806e+00  -7.184532861636869e+00  2.580875621997003e+01  8.395147372862860e+01
0.4900  -2.129574064245414e+00  -6.267381003975975e+00  1.964003232449945e+01  8.951900347148553e+01
0.5000  -2.187537371822837e+00  -5.320793649220764e+00  1.415542252879401e+01  9.445842579205690e+01
0.5100  -2.235908765839742e+00  -4.349859690859756e+00  9.460639665083264e+00  9.868198987501776e+01
0.5200  -2.274470842556454e+00  -3.359812258691231e+00  5.644169206825936e+00  1.021152226547381e+02
0.5300  -2.303059081090262e+00  -2.355987911576106e+00  2.775339519746371e+00  1.046983649483537e+02
0.5400  -2.321562670100504e+00  -1.343785019331524e+00  9.028790890899127e-01  1.063874905020765e+02
0.5500  -2.329924916152465e+00  -3.286217936807084e-01  5.399614164096305e-02  1.071552842112616e+02
0.5600  -2.328143232564942e+00  6.841055689014131e-01  2.340002147009630e-01  1.069914644990991e+02
0.5700  -2.316268712163936e+00  1.689064172784500e+00  1.426468889892094e+00  1.059028438887627e+02
0.5800  -2.294405291920397e+00  2.681024686785334e+00  3.593946685576199e+00  1.039130309052686e+02
0.5900  -2.262708521883486e+00  3.654900150480214e+00  6.679147554990146e+00  1.010617853237313e+02
0.6000  -2.221383955074228e+00  4.605782908763394e+00  1.060661810132850e+01  9.740404717892150e+01
0.6100  -2.170685179022280e+00  5.528979286414338e+00  1.528480597479940e+01  9.300866762590995e+01
0.6200  -2.110911513358717e+00  6.420041645682856e+00  2.060846736615112e+01  8.795687648023961e+01
0.6300  -2.042405401272118e+00  7.274797505722588e+00  2.646133937463379e+01  8.234052689061689e+01
0.6400  -1.965549525650678e+00  8.089375442591937e+00  3.271899752560475e+01  7.626016197014226e+01
0.6500  -1.880763683331557e+00  8.860227531932855e+00  3.925181595881049e+01  6.982295124039214e+01
0.6600  -1.788501453028360e+00  9.584148142719568e+00  4.592794781079748e+01  6.314054637924581e+01
0.6700  -1.689246694182649e+00  1.025828893898898e+01  5.261624597789182e+01  5.632690600773108e+01
0.6800  -1.583509915166947e+00  1.088016999654017e+01  5.918904957680648e+01  4.949613814784244e+01
0.6900  -1.471824549942557e+00  1.144768699251944e+01  6.552476873934941e+01  4.276040661862973e+01
0.7000  -1.354743182440846e+00  1.195911447687658e+01  7.151020953551955e+01  3.622794413552520e+01
0.7100  -1.232833757593527e+00  1.241310528517472e+01  7.704259141041629e+01  3.000121039302748e+01
0.7200  -1.106675817095182e+00  1.280868620145656e+01  8.203122110369179e+01  2.417522812340155e+01
