# omega0=1, alpha=0.2
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
40.0975 -2.326619829850264e-01 -2.138401061290040e-01
4.018867583271454e+01 -2.516768396334964e-01 -2.030477234909381e-01
4.027986865284777e+01 -2.696706899570861e-01 -1.914566004691890e-01
4.037106147298100e+01 -2.865731196919700e-01 -1.791202618545523e-01
4.046225429311423e+01 -3.023186814962618e-01 -1.660940437299701e-01
4.055344711324746e+01 -3.168470412445487e-01 -1.524346868191900e-01
4.064463993338069e+01 -3.301030893803412e-01 -1.381999778114429e-01
4.073583275351392e+01 -3.420370219421127e-01 -1.234484435536630e-01
4.082702557364715e+01 -3.526043962190023e-01 -1.082391006842409e-01
4.091821839378038e+01 -3.617661661225665e-01 -9.263126100563888e-02
4.100941121391361e+01 -3.694887022883880e-01 -7.668439073147260e-02
4.110060403404684e+01 -3.757438016592589e-01 -6.045801975810588e-02
4.119179685418007e+01 -3.805086908684031e-01 -4.401169534972717e-02
4.128298967431330e+01 -3.837660271590179e-01 -2.740497312537236e-02
4.137418249444653e+01 -3.855038998702597e-01 -1.069743702181618e-02
4.146537531457976e+01 -3.857158347165927e-01 6.051261005886569e-03
4.155656813471299e+01 -3.844008022151951e-01 2.278135138476302e-02
4.164776095484622e+01 -3.815632307035340e-01 3.943289754819210e-02
4.173895377497945e+01 -3.772130234651203e-01 5.594575687557107e-02
4.183014659511268e+01 -3.713655785745290e-01 7.225956169446703e-02
4.192133941524591e+01 -3.640418092112948e-01 8.831372944108434e-02
4.201253223537914e+01 -3.552681614038696e-01 1.040475101261215e-01
4.210372505551237e+01 -3.450766254759758e-01 1.194000780204500e-01
4.219491787564560e+01 -3.335047369035016e-01 1.343106729777717e-01
4.228611069577883e+01 -3.205955618735085e-01 1.487187950759892e-01
4.237730351591206e+01 -3.063976625881752e-01 1.625644543208464e-01
4.246849633604529e+01 -2.909650372920349e-01 1.757884750601442e-01
