# omega0=1, alpha=0.25
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 4.980227820256796e-01 -4.317298730483130e-02
1.823856402664613e-01 4.921649407672437e-01 -8.506101615167178e-02
2.735784603996920e-01 4.825563227654995e-01 -1.253885738235200e-01
3.647712805329227e-01 4.693512670371138e-01 -1.638940391112762e-01
4.559641006661534e-01 4.527273269743613e-01 -2.003299838944909e-01
5.471569207993838e-01 4.328839491611285e-01 -2.344638244864507e-01
6.383497409326140e-01 4.100410755673279e-01 -2.660788526315957e-01
7.295425610658441e-01 3.844376345369424e-01 -2.949756392415127e-01
8.207353811990743e-01 3.563298882623596e-01 -3.209737681610014e-01
9.119282013323045e-01 3.259896098602312e-01 -3.439138244050650e-01
1.003121021465535e+00 2.937020713716125e-01 -3.636595334165492e-01
1.094313841598765e+00 2.597638344588759e-01 -3.800999269225493e-01
1.185506661731995e+00 2.244803475521409e-01 -3.931513986248129e-01
1.276699481865225e+00 1.881633658612279e-01 -4.027595104758706e-01
1.367892301998455e+00 1.511282230859678e-01 -4.089004182017557e-01
1.459085122131685e+00 1.136909948883534e-01 -4.115818027058324e-01
1.550277942264916e+00 7.616560336696759e-02 -4.108432207696422e-01
1.641470762398146e+00 3.886091818514407e-02 -4.067558219266830e-01
1.732663582531376e+00 2.077913164551545e-03 -3.994214157074235e-01
1.823856402664606e+00 -3.389306314222313e-02 -3.889709114292598e-01
1.915049222797836e+00 -6.877484805350573e-02 -3.755621880909758e-01
2.006242042931067e+00 -1.023058083514996e-01 -3.593774818210968e-01
2.097434863064297e+00 -1.342419277329111e-01 -3.406204004722062e-01
2.188627683197527e+00 -1.643586096436833e-01 -3.195126879737059e-01
2.279820503330757e+00 -1.924521784365229e-01 -2.962908645475314e-01
2.371013323463987e+00 -2.183410731028120e-01 -2.712028633790702e-01
2.462206143597217e+00 -2.418667382772158e-01 -2.445047711217066e-01
2.553398963730448e+00 -2.628942261727816e-01 -2.164577605509104e-01
2.644591783863678e+00 -2.813125301396696e-01 -1.873252809138946e-01
2.735784603996908e+00 -2.970346754136184e-01 -1.573705472201931e-01
2.826977424130138e+00 -3.099975952844504e-01 -1.268543458870393e-01
2.918170244263368e+00 -3.201618214922842e-01 -9.603315246354162e-02
3.009363064396598e+00 -3.275110164057254e-01 -6.515753886937166e-02
3.100555884529828e+00 -3.320513718031658e-01 -3.447083352067891e-02
3.191748704663059e+00 -3.338108952724450e-01 -4.207988288559908e-03
3.282941524796289e+00 -3.328386007930390e-01 2.540539850587262e-02
3.374134344929519e+00 -3.292036153869014e-01 5.415395415262625e-02
3.465327165062749e+00 -3.229942092046560e-01 8.183334608036895e-02
3.556519985195979e+00 -3.143167523883550e-01 1.082510792251945e-01
3.647712805329209e+00 -3.032945987932716e-01 1.332273069651608e-01
3.738905625462440e+00 -2.900668943611521e-01 1.565956748892260e-01
3.830098445595670e+00 -2.747873067421833e-01 1.782042042560454e-01
3.921291265728900e+00 -2.576226727107453e-01 1.979162094861608e-01
4.012484085862130e+00 -2.387515609813330e-01 2.156112322585553e-01
4.103676905995361e+00 -2.183627501021469e-01 2.311859645324501e-01
4.194869726128591e+00 -1.966536240136721e-01 2.445551247757437e-01
4.286062546261821e+00 -1.738284913802091e-01 2.556522464025416e-01
4.377255366395051e+00 -1.500968386636866e-01 2.644303352728960e-01
4.468448186528281e+00 -1.256715308170759e-01 2.708623542406658e-01
4.559641006661511e+00 -1.007669771321253e-01 2.749414970635993e-01
4.650833826794742e+00 -7.559728290474839e-02 2.766812211839843e-01
4.742026646927972e+00 -5.037440994351871e-02 2.761150183958033e-01
4.833219467061202e+00 -2.530637036365046e-02 2.732959135018712e-01
4.924412287194432e+00 -5.954784747029223e-04 2.682956928807906e-01
5.015605107327662e+00 2.356331514075264e-02 2.612038765365277e-01
5.106797927460892e+00 4.698398499377666e-02 2.521264578413840e-01
5.197990747594122e+00 6.949086776611051e-02 2.411844440716392e-01
5.289183567727353e+00 9.091995870045669e-02 2.285122374190720e-01
5.380376387860583e+00 1.111200547262626e-01 2.142559001062236e-01
5.471569207993813e+00 1.299537357974724e-01 1.985713484400888e-01
5.562762028127043e+00 1.472981799621995e-01 1.816225192362205e-01
5.653954848260273e+00 1.630458114925283e-01 1.635795483570011e-01
5.745147668393503e+00 1.771047847878798e-01 1.446169956065328e-01
5.836340488526734e+00 1.893993095875111e-01 1.249121434752532e-01
5.927533308659964e+00 1.998698252002503e-01 1.046433898300452e-01
6.018726128793194e+00 2.084730329502868e-01 8.398874718265806e-02
6.109918948926424e+00 2.151817968651091e-01 6.312445416194733e-02
6.201111769059654e+00 2.199849228574120e-01 4.222369869231465e-02
6.292304589192884e+00 2.228868263729353e-01 2.145544745849005e-02
6.383497409326115e+00 2.239070978101717e-01 9.833727127505137e-04
6.474690229459345e+00 2.230799740977089e-01 -1.903513456520001e-02
6.565883049592575e+00 2.204537237749462e-01 -3.844987674108540e-02
6.657075869725805e+00 2.160899518894097e-01 -5.711869768391955e-02
6.748268689859035e+00 2.100628301115436e-01 -7.490827599700889e-02
6.839461509992265e+00 2.024582567675611e-01 -9.169486957020509e-02
6.930654330125495e+00 1.933729510693973e-01 -1.073650143787946e-01
7.021847150258726e+00 1.829134857170288e-01 -1.218161768609434e-01
7.113039970391956e+00 1.711952622727843e-01 -1.349573556532552e-01
7.204232790525186e+00 1.583414342424444e-01 -1.467096252463944e-01
7.295425610658416e+00 1.444817836012676e-01 -1.570066114983281e-01
7.386618430791646e+00 1.297515575105608e-01 -1.657948871197269e-01
7.477811250924876e+00 1.142902731018157e-01 -1.730342743698148e-01
7.569004071058107e+00 9.824049937048382e-02 -1.786980423452363e-01
7.660196891191337e+00 8.174662632661564e-02 -1.827729874072050e-01
7.751389711324567e+00 6.495363250492864e-02 -1.852593873963136e-01
7.842582531457797e+00 4.800586266268815e-02 -1.861708231847246e-01
7.933775351591027e+00 3.104582792628258e-02 -1.855338646106378e-01
8.024968171724257e+00 1.421304074306779e-02 -1.833876216889846e-01
8.116160991857488e+00 -2.357103266512253e-03 -1.797831659345321e-01
8.207353811990718e+00 -1.853438507693186e-02 -1.747828304096917e-01
8.298546632123948e+00 -3.419475310916404e-02 -1.684594004819993e-01
8.389739452257178e+00 -4.922123585380513e-02 -1.608952100480614e-01
8.480932272390408e+00 -6.350476839791898e-02 -1.521811600079377e-01
