# omega0=1, alpha=4
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 4.982293715138441e-01 -3.658899318411852e-02
1.823856402664613e-01 4.936720766077077e-01 -6.177083904855697e-02
2.735784603996920e-01 4.872077680388672e-01 -7.887705801097103e-02
3.647712805329227e-01 4.794590367169153e-01 -9.026934166672627e-02
4.559641006661534e-01 4.708662514729245e-01 -9.762176308535901e-02
5.471569207993838e-01 4.617406139110031e-01 -1.021209950393884e-01
6.383497409326140e-01 4.523017624073331e-01 -1.046082715635185e-01
7.295425610658441e-01 4.427044230243019e-01 -1.056800062301975e-01
8.207353811990743e-01 4.330572980196411e-01 -1.057590931737681e-01
9.119282013323045e-01 4.234364539445462e-01 -1.051454290103424e-01
1.003121021465535e+00 4.138948123180237e-01 -1.040517114316216e-01
1.094313841598765e+00 4.044688786100192e-01 -1.026288068421831e-01
1.185506661731995e+00 3.951835141395359e-01 -1.009837283162112e-01
1.276699481865225e+00 3.860553209067202e-01 -9.919237826184017e-02
1.367892301998455e+00 3.770950432082927e-01 -9.730858179655162e-02
1.459085122131685e+00 3.683092721845171e-01 -9.537049173880605e-02
1.550277942264916e+00 3.597016560733082e-01 -9.340513089239828e-02
1.641470762398146e+00 3.512737598862066e-01 -9.143161405559162e-02
1.732663582531376e+00 3.430256763778145e-01 -8.946343407992531e-02
1.823856402664606e+00 3.349564605316149e-01 -8.751008431879047e-02
1.915049222797836e+00 3.270644387740312e-01 -8.557821047965780e-02
2.006242042931067e+00 3.193474292364778e-01 -8.367242869428093e-02
2.097434863064297e+00 3.118028988283896e-01 -8.179590680015546e-02
2.188627683197527e+00 3.044280753995525e-01 -7.995077760641825e-02
2.279820503330757e+00 2.972200279626551e-01 -7.813843291546600e-02
2.371013323463987e+00 2.901757241829038e-01 -7.635973289239173e-02
2.462206143597217e+00 2.832920716715895e-01 -7.461515532130844e-02
2.553398963730448e+00 2.765659477263283e-01 -7.290490215897823e-02
2.644591783863678e+00 2.699942208166909e-01 -7.122897574046762e-02
2.735784603996908e+00 2.635737661601210e-01 -6.958723340550090e-02
2.826977424130138e+00 2.573014770560249e-01 -6.797942677021480e-02
2.918170244263368e+00 2.511742731652589e-01 -6.640523006406561e-02
3.009363064396598e+00 2.451891065809291e-01 -6.486426067084726e-02
3.100555884529828e+00 2.393429662939701e-01 -6.335609410381038e-02
3.191748704663059e+00 2.336328814847094e-01 -6.188027499969452e-02
3.282941524796289e+00 2.280559239491735e-01 -6.043632525848072e-02
3.374134344929519e+00 2.226092098818054e-01 -5.902375013048856e-02
3.465327165062749e+00 2.172899011742898e-01 -5.764204282152479e-02
3.556519985195979e+00 2.120952063460428e-01 -5.629068802278050e-02
3.647712805329209e+00 2.070223811904472e-01 -5.496916465566017e-02
3.738905625462440e+00 2.020687291984448e-01 -5.367694803892982e-02
3.830098445595670e+00 1.972316018050171e-01 -5.241351162671649e-02
3.921291265728900e+00 1.925083984925601e-01 -5.117832842403489e-02
4.012484085862130e+00 1.878965667768651e-01 -4.997087215673458e-02
4.103676905995361e+00 1.833936020954257e-01 -4.879061825155120e-02
4.194869726128591e+00 1.789970476134417e-01 -4.763704466682788e-02
4.286062546261821e+00 1.747044939597127e-01 -4.650963260368179e-02
4.377255366395051e+00 1.705135789022675e-01 -4.540786711967584e-02
4.468448186528281e+00 1.664219869718314e-01 -4.433123766152549e-02
4.559641006661511e+00 1.624274490399171e-01 -4.327923852939584e-02
4.650833826794742e+00 1.585277418573171e-01 -4.225136928247512e-02
4.742026646927972e+00 1.547206875579936e-01 -4.124713509342842e-02
4.833219467061202e+00 1.510041531327390e-01 -4.026604705781543e-02
4.924412287194432e+00 1.473760498764814e-01 -3.930762246343530e-02
5.015605107327662e+00 1.438343328126958e-01 -3.837138502372774e-02
5.106797927460892e+00 1.403770000980341e-01 -3.745686507873037e-02
5.197990747594122e+00 1.370020924099926e-01 -3.656359976661090e-02
5.289183567727353e+00 1.337076923201772e-01 -3.569113316841717e-02
5.380376387860583e+00 1.304919236554990e-01 -3.483901642839044e-02
5.471569207993813e+00 1.273529508494326e-01 -3.400680785194535e-02
5.562762028127043e+00 1.242889782852832e-01 -3.319407298322042e-02
5.653954848260273e+00 1.212982496332482e-01 -3.240038466393410e-02
5.745147668393503e+00 1.183790471829021e-01 -3.162532307513626e-02
5.836340488526734e+00 1.155296911725979e-01 -3.086847576331774e-02
5.927533308659964e+00 1.127485391171494e-01 -3.012943765222796e-02
6.018726128793194e+00 1.100339851350395e-01 -2.940781104164927e-02
6.109918948926424e+00 1.073844592762905e-01 -2.870320559428438e-02
6.201111769059654e+00 1.047984268520315e-01 -2.801523831182925e-02
6.292304589192884e+00 1.022743877667023e-01 -2.734353350122600e-02
6.383497409326115e+00 9.981087585374818e-02 -2.668772273201905e-02
6.474690229459345e+00 9.740645821557505e-02 -2.604744478567065e-02
6.565883049592575e+00 9.505973456846403e-02 -2.542234559763065e-02
6.657075869725805e+00 9.276933659307032e-02 -2.481207819289688e-02
6.748268689859035e+00 9.053392729106942e-02 -2.421630261574960e-02
6.839461509992265e+00 8.835220034845254e-02 -2.363468585429224e-02
6.930654330125495e+00 8.622287950591755e-02 -2.306690176038456e-02
7.021847150258726e+00 8.414471793675099e-02 -2.251263096550996e-02
7.113039970391956e+00 8.211649763254839e-02 -2.197156079307780e-02
7.204232790525186e+00 8.013702879707693e-02 -2.144338516762361e-02
7.295425610658416e+00 7.820514924854358e-02 -2.092780452133404e-02
7.386618430791646e+00 7.631972383049411e-02 -2.042452569829011e-02
7.477811250924876e+00 7.447964383153491e-02 -1.993326185679146e-02
7.569004071058107e+00 7.268382641403653e-02 -1.945373237009495e-02
7.660196891191337e+00 7.093121405195005e-02 -1.898566272587423e-02
7.751389711324567e+00 6.922077397783923e-02 -1.852878442468159e-02
7.842582531457797e+00 6.755149763920804e-02 -1.808283487766995e-02
7.933775351591027e+00 6.592240016417981e-02 -1.764755730381094e-02
8.024968171724257e+00 6.433251983656409e-02 -1.722270062682509e-02
8.116160991857488e+00 6.278091758032815e-02 -1.680801937202077e-02
8.207353811990718e+00 6.126667645347369e-02 -1.640327356322146e-02
8.298546632123948e+00 5.978890115130232e-02 -1.600822861994431e-02
8.389739452257178e+00 5.834671751904076e-02 -1.562265525497809e-02
8.480932272390408e+00 5.693927207378276e-02 -1.524632937249449e-02
8.572125092523638e+00 5.556573153569357e-02 -1.487903196681382e-02
8.663317912656868e+00 5.422528236841221e-02 -1.452054902193402e-02
8.754510732790099e+00 5.291713032857749e-02 -1.417067141192098e-02
8.845703552923329e+00 5.164050002439495e-02 -1.382919480224755e-02
8.936896373056559e+00 5.039463448315487e-02 -1.349591955215949e-02
9.028089193189789e+00 4.917879472760419e-02 -1.317065061813742e-02
9.119282013323019e+00 4.799225936106973e-02 -1.285319745851599e-02
9.210474833456249e+00 4.683432416122465e-02 -1.254337393931384e-02
9.301667653589480e+00 4.570430168238550e-02 -1.224099824132121e-02
9.392860473722710e+00 4.460152086622332e-02 -1.194589276848537e-02
9.484053293855940e+00 4.352532666076885e-02 -1.165788405762853e-02
9.575246113989170e+00 4.247507964758886e-02 -1.137680268952733e-02
9.666438934122400e+00 4.145015567700847e-02 -1.110248320137807e-02
9.757631754255630e+00 4.044994551125200e-02 -1.083476400066742e-02
9.848824574388860e+00 3.947385447537351e-02 -1.057348728046397e-02
9.940017394522091e+00 3.852130211584693e-02 -1.031849893614254e-02
1.003121021465532e+01 3.759172186668466e-02 -1.006964848354929e-02
1.012240303478855e+01 3.668456072295302e-02 -9.826788978612739e-03
1.021359585492178e+01 3.579927892155257e-02 -9.589776938402982e-03
1.030478867505501e+01 3.493534962913125e-02 -9.358472263638409e-03
1.039598149518824e+01 3.409225863699851e-02 -9.132738162637296e-03
1.048717431532147e+01 3.326950406290866e-02 -8.912441076709085e-03
1.057836713545470e+01 3.246659605958280e-02 -8.697450606978475e-03
1.066955995558793e+01 3.168305652983867e-02 -8.487639442633484e-03
1.076075277572116e+01 3.091841884819945e-02 -8.282883290587194e-03
1.085194559585439e+01 3.017222758885262e-02 -8.083060806541403e-03
1.094313841598762e+01 2.944403825983208e-02 -7.888053527439086e-03
1.103433123612085e+01 2.873341704329733e-02 -7.697745805291533e-03
1.112552405625408e+01 2.803994054178494e-02 -7.512024742364910e-03
1.121671687638731e+01 2.736319553030915e-02 -7.330780127710187e-03
1.130790969652054e+01 2.670277871419003e-02 -7.153904375019535e-03
1.139910251665377e+01 2.605829649248870e-02 -6.981292461791637e-03
1.149029533678700e+01 2.542936472693133e-02 -6.812841869787778e-03
