# uniform1 uniform2 gaussian1 gaussian2
  0.569921 0.141664 -1.719461 -1.104096
  0.152415 0.711707 -0.171543 -1.875105
  0.613686 0.777771 1.798593 1.531541
  0.346095 0.167381 0.826061 -0.428934
  0.733986 0.489446 0.029817 -2.611880
  0.910042 0.791558 0.677121 0.296054
  0.486609 0.648001 -1.646082 -0.442155
  0.172062 0.936083 0.291735 0.259232
  0.322869 0.708717 -0.645862 1.021534
  0.422079 0.592589 0.152167 0.981868
  0.195183 0.290782 0.051112 0.110777
  0.155659 0.520905 -0.711944 0.498954
  0.653140 0.908557 1.720783 -0.128978
  0.435947 0.702108 -0.350867 -0.504884
  0.638131 0.792588 0.389457 0.559323
  0.124328 0.333245 -0.878055 0.508202
  0.063053 0.152534 -0.758711 -0.624061
  0.684848 0.294822 -0.768819 2.381718
  0.527585 0.938092 -0.381315 0.782745
  0.912700 0.854921 -0.424499 -0.603667
  0.553938 0.021140 -0.301016 -0.874291
  0.651609 0.812435 -0.125815 1.051940
  0.281840 0.850549 -0.187461 0.512270
  0.380211 0.766880 0.862956 -1.203684
  0.211026 0.586161 0.830378 -0.065156
  0.327030 0.887226 0.632429 0.013773
  0.992414 0.106001 -1.267483 -1.816170
  0.079210 0.676126 -0.136978 -2.374564
  0.806612 0.365366 -0.956357 -0.902361
  0.837873 0.838350 -1.150675 0.484867
  0.380668 0.465733 -0.057598 -1.619299
  0.050873 0.418336 -0.499551 0.281694
  0.690104 0.431713 0.482190 -1.001671
  0.684663 0.295352 0.361172 0.815341
  0.808259 0.685036 -0.579781 1.440858
  0.235573 0.293347 -0.397579 -1.596163
  0.249294 0.238546 0.033499 -1.292996
  0.198213 0.365379 0.556867 -0.408573
  0.011993 0.308531 -0.755806 -0.427579
  0.907852 0.436126 1.774078 0.007279
  0.272264 0.902891 -1.101436 -1.122755
  0.057777 0.949053 0.032509 -1.243852
  0.774034 0.846610 -0.563673 2.187841
  0.576661 0.143810 -0.596067 -0.503710
  0.504140 0.386249 0.182284 0.610810
  0.759376 0.542393 1.380803 -0.718035
  0.321753 0.315028 -0.233819 -0.339652
  0.137955 0.132575 2.197884 -0.849919
  0.050103 0.740779 -1.153947 -0.585153
  0.932568 0.710856 2.052097 0.858052
  0.407273 0.859721 -1.472931 -0.750581
  0.148948 0.358438 -0.055615 0.706676
  0.285597 0.691403 0.321697 -1.945938
  0.807592 0.628820 1.306155 0.600070
  0.479146 0.017225 -0.422672 0.874998
  0.210844 0.837335 -2.036621 0.461294
  0.534030 0.190716 0.877336 0.130154
  0.437106 0.311624 0.333356 0.317891
  0.398260 0.924927 -1.608390 -0.379997
  0.443318 0.649094 -0.783407 0.179479
  0.656774 0.263255 -0.819997 -1.152062
  0.250661 0.529743 0.247728 -1.541793
  0.785038 0.159710 1.206051 1.724059
  0.125905 0.727419 1.410454 -1.478727
  0.749597 0.844265 -0.787402 -1.326171
  0.057424 0.572332 1.370896 0.448874
  0.158657 0.421209 0.367656 0.412811
  0.116366 0.420129 0.147006 -1.028819
  0.210289 0.602793 1.511978 -0.068756
  0.111905 0.276304 0.788798 1.857648
  0.418080 0.145628 0.205437 3.085381
  0.694868 0.816520 -0.841050 0.895882
  0.720762 0.936626 0.471213 0.583670
  0.601593 0.178075 -0.087038 -2.074620
  0.603524 0.490334 -1.474856 1.443390
  0.769098 0.221578 -0.193157 0.247115
  0.524525 0.671343 0.591215 -0.223410
  0.573547 0.441414 0.703942 -0.144058
  0.262939 0.255538 -0.306687 1.249236
  0.570177 0.112264 0.493112 -0.525105
  0.779740 0.471527 -0.577246 -1.789646
  0.596242 0.521498 -1.094455 2.320590
  0.158827 0.524655 0.548466 1.647731
  0.810625 0.659013 -0.924463 1.913303
  0.053253 0.417616 -0.070699 -1.624452
  0.753463 0.312423 -2.139454 0.957990
  0.938208 0.728562 -0.758307 -0.174121
  0.277152 0.313942 -0.399465 0.657886
  0.992205 0.755464 0.051052 -0.258573
  0.587948 0.814184 0.271036 -0.681493
  0.026966 0.726040 -0.395885 0.968460
  0.086321 0.817414 -2.056668 0.207323
  0.599967 0.126325 -0.291940 0.028084
  0.503281 0.652532 -0.792298 0.703396
  0.405069 0.518785 -0.420651 -3.353843
  0.217301 0.082833 -1.950429 -0.288248
  0.718422 0.325916 -0.631252 1.036735
  0.262945 0.286927 0.916243 0.318663
  0.454336 0.828948 -0.160713 1.214707
  0.813793 0.920477 0.110983 -0.704591
  0.152836 0.003896 -0.567936 -0.561909
  0.774233 0.439334 1.876965 0.066689
  0.683793 0.088004 0.307863 -0.574348
  0.763611 0.022454 -1.708142 0.735965
  0.125876 0.704680 0.961108 0.589973
  0.548170 0.126663 0.430701 1.574254
  0.659640 0.479027 -0.072574 1.241183
  0.011301 0.600042 -1.269619 -0.712142
  0.226524 0.898960 -0.150472 0.837092
  0.095682 0.497028 -1.909260 -0.448274
  0.634826 0.865924 1.381703 0.653821
  0.846749 0.007276 0.058613 0.014839
  0.204750 0.230928 0.784548 -0.058029
  0.229151 0.552529 -0.453260 0.917406
  0.426699 0.450095 -0.190820 -0.657191
  0.676200 0.278915 -0.669134 1.117436
  0.998815 0.249888 0.123617 0.428825
  0.127081 0.296680 0.760917 -0.236895
  0.288191 0.469398 0.249745 0.283397
  0.821871 0.045612 0.554516 1.460268
  0.040212 0.178996 0.711685 -0.465438
  0.065258 0.739350 -0.985530 -1.020485
  0.868861 0.269304 -0.874306 -0.013921
  0.031304 0.761572 -0.493413 -0.016854
  0.334398 0.244848 0.801674 -1.789322
  0.189801 0.782906 -0.036551 0.795107
  0.938966 0.522363 -0.966890 0.392338
  0.945282 0.385047 -0.031486 -0.817979
  0.578393 0.722775 -0.950023 -0.703095
  0.796536 0.977293 0.084013 0.249465
  0.915633 0.576134 -0.478576 0.906506
  0.938228 0.012904 -0.188817 -0.006176
  0.168881 0.495529 -0.868117 -0.154049
  0.070022 0.395497 -1.135607 0.481908
  0.767512 0.064513 -0.028985 1.579637
  0.956550 0.348322 0.125139 0.550941
  0.461857 0.279625 -0.219091 2.016823
  0.130380 0.575949 0.719977 -0.170548
  0.666246 0.802706 0.588423 -0.773314
  0.961907 0.618865 2.648063 1.398577
  0.830067 0.466117 1.325045 -0.060005
  0.282961 0.392234 -0.532182 0.321423
  0.293122 0.365415 0.050238 -0.498031
  0.912062 0.089994 -0.087791 0.225275
  0.735490 0.858963 0.084251 -1.567872
  0.015945 0.450366 0.672815 -0.660429
  0.021384 0.921854 1.047857 1.113146
  0.162272 0.929235 0.813914 -0.478529
  0.425127 0.007250 0.598620 0.660965
  0.112326 0.090028 -0.195416 -0.360331
  0.174915 0.268323 -0.545126 -0.392921
  0.439627 0.190050 -0.509242 -0.573284
  0.519449 0.785819 0.073652 -0.481307
  0.303213 0.280037 0.218274 0.126602
  0.806371 0.818043 -0.187733 1.061048
  0.862742 0.985330 -1.534754 -2.223747
  0.244608 0.767852 -0.037182 1.371268
  0.379505 0.568683 0.249820 0.463358
  0.172060 0.553556 2.070727 2.161306
  0.414331 0.260990 0.617403 -0.489712
  0.642112 0.716215 -0.203046 0.435203
  0.964139 0.459309 -0.430345 -1.197490
  0.121206 0.388492 -0.923845 -1.168082
  0.876862 0.866868 0.245546 -0.744351
  0.026608 0.252030 0.522491 0.564902
  0.077080 0.460208 0.165578 1.188741
  0.582919 0.393568 0.939728 1.684348
  0.869129 0.336196 1.892468 -0.131110
  0.819223 0.135347 -0.451816 -0.021740
  0.067925 0.030447 0.931213 -0.776181
  0.897370 0.131072 0.464462 0.766356
  0.498774 0.376243 0.423918 1.328463
  0.618685 0.267334 0.550135 -0.923902
  0.828138 0.480326 -0.344425 0.456739
  0.754089 0.736818 0.737496 -0.524974
  0.188882 0.299660 -0.485298 -0.901409
  0.654091 0.603869 -0.612403 1.012153
  0.872008 0.510727 0.904123 2.119810
  0.822729 0.758002 1.640271 1.150160
  0.665115 0.718796 -1.130539 -0.571821
  0.546887 0.795278 0.628610 0.366580
  0.808053 0.733242 -2.738191 0.283110
  0.034533 0.941971 0.965193 0.672962
  0.176844 0.456633 -0.716310 -0.588715
  0.171547 0.790398 -0.926447 -1.671342
  0.811257 0.429139 -0.780892 -1.187171
  0.665206 0.994436 0.143136 0.520229
  0.736791 0.757332 0.238008 -1.220928
  0.744448 0.751910 -0.301501 0.315776
  0.549874 0.685556 0.383935 1.165140
  0.983134 0.189460 0.819762 -0.277841
  0.081638 0.331916 -1.021875 -1.168980
  0.790441 0.566991 0.692547 -1.540410
