    x     y_exact   y_lspline  y_pspline  y_cspline
0.000000 9.341764 9.340000 9.340000 9.340000
5.000000 10.500801 11.052000 56.901156 10.802483
10.000000 11.876772 12.764000 63.081869 12.327346
15.000000 13.523094 14.476000 50.238446 13.976966
20.000000 15.508768 16.188000 32.497149 15.813725
25.000000 17.923007 17.900000 17.900000 17.900000
30.000000 20.880647 22.620000 10.160989 20.356112
35.000000 24.527397 27.340000 10.077750 23.534144
40.000000 29.042154 32.060000 16.641228 27.844120
45.000000 34.629454 36.780000 27.883326 33.696064
50.000000 41.486772 41.500000 41.500000 41.500000
55.000000 49.717954 49.900000 55.284700 51.340749
60.000000 59.152974 58.300000 67.404561 62.002319
65.000000 69.062416 66.700000 76.549173 71.943515
70.000000 77.903078 75.100000 81.979257 79.623140
75.000000 83.502123 83.500000 83.500000 83.500000
80.000000 84.051299 77.100000 81.381310 82.509691
85.000000 79.354238 70.700000 76.244674 77.494980
90.000000 70.980283 64.300000 68.933798 69.775422
95.000000 61.133700 57.900000 60.383650 60.670576
100.000000 51.521871 51.500000 51.500000 51.500000
105.000000 43.023060 45.500000 43.059022 43.348485
110.000000 35.893835 39.500000 35.633966 36.361762
115.000000 30.067051 33.500000 29.553401 30.450797
120.000000 25.354628 27.500000 24.892956 25.526554
125.000000 21.549616 21.500000 21.500000 21.500000
130.000000 18.466874 19.360000 19.048105 18.274769
135.000000 15.954060 17.220000 17.115660 15.725172
140.000000 13.890549 15.080000 15.280424 13.718191
145.000000 12.182451 12.940000 13.219293 12.120806
150.000000 10.757123 10.800000 10.800000 10.800000
155.000000 9.558356 9.898000 8.148971 9.643561
160.000000 8.542495 8.996000 5.676959 8.622511
165.000000 7.675445 8.094000 4.041616 7.728681
170.000000 6.930398 7.192000 4.023558 6.953900
175.000000 6.286122 6.290000 6.290000 6.290000
180.000000 5.725678 5.850000 11.017455 5.726748
185.000000 5.235452 5.410000 17.342493 5.245664
190.000000 4.804421 4.970000 22.606986 4.826206
195.000000 4.423599 4.530000 21.361757 4.447832
200.000000 4.085612 4.090000 4.090000 4.090000
